optimizer,best_params,run,score
IGWO,"[9.30577761e-01 1.95991887e-01 8.61219987e-02 7.25789348e+01
 4.80780534e+01 8.81695341e+01 4.38154708e-01 7.19387144e-01
 1.63809336e-01 7.40348756e-02 1.02657999e+02 7.26031879e+01
 1.93344076e+02 1.12942311e-01]",88,2503.2227733045693
IGWO,"[9.03304296e-01 5.59010221e-01 2.11972409e-01 6.60236789e+01
 3.38796126e+01 7.74029488e+01 3.27211522e-01 5.25709375e-01
 1.12109822e-02 1.67460426e-01 1.06318416e+02 2.00000000e+02
 1.56887037e+02 1.00000000e-01]",89,2883.208325807112
IGWO,"[8.00196297e-02 7.93850368e-01 1.56689789e-01 7.07205141e+01
 7.25075054e+01 7.70117171e+01 8.66652726e-01 7.45081853e-01
 2.66313781e-01 1.07411670e-01 1.12183285e+02 1.14156941e+02
 5.46403346e+01 1.37384867e-01]",90,2517.997048478495
IGWO,"[  0.82097187   0.98769718   0.90102839  44.33612926  89.30646452
 183.16821221   0.73458407   0.894088     0.21364251   0.29812508
 117.31130975 121.40914289  71.06870795   0.54210526]",91,2297.5269953578627
IGWO,"[3.64849818e-01 9.47532727e-01 1.89851084e-01 7.35040831e+01
 7.44098543e+01 3.61612107e+01 5.05838307e-01 4.00026353e-01
 5.83601351e-04 1.66077162e-03 1.06890394e+02 4.71029663e+01
 7.84629279e+01 9.10068395e-01]",92,3092.7371584850666
IGWO,"[1.71494781e-01 1.00000000e+00 1.68862033e-01 6.82435301e+01
 8.08532527e+01 1.21421827e+02 4.26811457e-01 8.98129465e-03
 8.53739010e-01 7.25171673e-02 9.27365404e+01 1.22592435e+02
 1.93591217e+02 2.80854375e-01]",93,2916.7581122447814
IGWO,"[3.07112125e-01 8.40015330e-01 2.57976013e-01 7.15319160e+01
 9.57985690e+01 5.52802564e+01 1.30788554e-01 8.53206279e-01
 8.45002736e-02 4.95853365e-03 1.02946884e+02 1.35837324e+02
 8.71532426e+01 1.35035936e-01]",94,2767.289116397575
IGWO,"[5.29633338e-02 8.31749641e-01 3.27707984e-01 7.29990558e+01
 8.45718893e+01 1.77181055e+02 1.02411771e-01 5.44708986e-02
 1.00000000e+00 3.15816797e-01 1.12148135e+02 1.19271921e+02
 1.43311468e+02 1.01070297e-01]",95,2976.2192542421926
IGWO,"[4.60758696e-01 3.02281659e-02 1.33838166e-02 7.19708996e+01
 2.98921246e+01 3.75233902e+01 1.14756014e-01 5.63487444e-01
 3.75163432e-02 1.42278636e-02 1.08604867e+02 8.33009380e+01
 9.98639035e+01 1.14009529e-01]",96,2394.909732535069
IGWO,"[  0.1611659    0.63910592   0.19106134  77.5536854   83.3751655
  72.25404551   0.45108792   0.87062976   0.95559995   0.1883737
  96.73530732 137.4619809   54.98410382   0.26244879]",97,2470.2072399434
IGWO,"[  0.57024285   0.80271912   0.43174304  86.16627835  63.14049601
 156.68800122   0.44195367   0.71128327   0.62457049   0.31121044
 102.98402503 138.53991764  29.25958285   0.24394992]",98,2769.5654867087387
IGWO,"[1.00000000e+00 5.40606084e-01 9.29199230e-02 6.88993097e+01
 1.93480042e+02 5.85549125e+01 2.48239337e-01 7.04029075e-01
 2.10971827e-01 4.08264835e-02 1.24568121e+02 8.73667878e+01
 6.65344873e+01 1.38542015e-01]",99,2183.861924244
IGWO,"[  0.68106653   0.2441497    0.51257578  66.40058203  33.52096818
 179.39388633   0.23889484   0.49348073   0.91612013   0.65527878
  90.56549062 149.55752745 105.59118657   0.2102118 ]",100,2944.656268190511
PPSO,"[  0.38355478   0.60889522   0.41244417  84.22027299  66.01626181
 110.29874695   0.60109542   0.49602041   0.61256059   0.38508355
 102.49223914 135.90497483 120.83874848   0.48457986]",1,2657.545656081767
PPSO,"[  0.47336666   0.33263837   0.62683715  75.53251447  80.91354877
  70.30293237   0.35639993   0.41316946   0.25478055   0.5667681
 109.80656946 121.17225629 115.46473614   0.29845706]",2,2457.241737505002
